name	Sigle	latitude	longitude	code
85309 P�rnbach	sob051poe	48.6131374	11.4322354	341
85368 Moosburg an der Isar	sob071mob	48.4797515	11.8571113	342
85376 Massenhausen-Giggenhausen	sob089mas	48.3479215	11.62778	343
85386 Dietersheim	sob104dth	48.2987743	11.5997424	344
85391 Leonhardsbuch/Allershausen	sob076leo	48.4056869	11.5799868	345
85395 Wolfersdorf	sob068wod	48.4961146	11.690683	346
85399 Goldach-Hallbergmoos	sob090gol	48.3098309	11.6571933	347
85406 Zolling	sob069zol	48.4758321	11.6918847	348
85410 Haag an der Amper	sob070hag	48.4713506	11.808714	349
85413 H�rgertshausen	sob062ghg	48.5574919	11.834421	350
85414 Wippenhausen	sob077wip	48.4387857	11.6813185	351
85416 Oberhummel	sob079ohm	48.4261674	11.8687002	352
85417 Marzling	sob078mrz	48.4028912	11.7419848	353
85419 Enghausen	sob063enh	48.5379721	11.9038635	354
85447 Tittenkofen	sob092tit	48.3495634	11.9508623	355
85452 Eichenried	sob105eir	48.275866	11.7816754	356
85452 Moosinning	sob106moi	48.274554	11.7384877	357
85462 Eitting	sob091eiz	48.3765573	11.7851413	358
85464 Finsing	sob127fin	48.2357618	11.7680539	359
85465 Langenpreising	sob080lgp	48.4280351	11.9342155	360
85469 Walpertskirchen	sob107wpk	48.2590754	11.9373304	361
85567 Elkofen	sob203elk	48.235865	11.9537632	362
85570 Ottenhofen	sob128ott	48.1996679	11.8394064	363
85604 P�ring/Zorneding	sob178poe	48.935671	11.826998	364
85625 Glonn	sob225glo	47.9833953	11.7931545	365
85630 Harthausen/Grasbrunn	sob177hth	48.562723	11.7599525	366
85635 Siegertsbrunn	sob201sgb	48.186425	11.6874276	367
85643 Steinh�ring	sob180sho	48.935479	11.9701603	368
85646 Anzing	sob154anz	48.1568303	11.8201409	369
85653 Aying	sob224ayi	47.9571426	11.6914193	370
85664 Hohenlinden	sob155hli	48.1465005	11.9620415	371
85665 Moosach	sob202moa	48.356414	11.8400732	372
85669 Pastetten	sob129pst	48.2071303	11.907559	373
85716 Unterschlei�heim	sob103ush	48.2757323	11.5200913	374
85737 Ismaning	sob126ism	48.2407196	11.6315713	375
85777 Fahrenzhausen-Oberndorf	sob088fzh	48.3606617	11.5296076	376
86150 Augsburg	sbs122aug	48.3649999	10.8826827	377
86167 Lechhausen	sbs123lec	48.3931077	10.8900584	378
86179 Haunstetten	sbs139hau	48.2976418	10.8462903	379
86199 Inningen	sbs138inn	48.311391	10.8665113	380
86316 Harthausen	sbs125har	48.362482	11.407693	382
86316 Ottmaring/Rederzhausen	sbs141otm	48.3316855	10.998977	383
86316 Wulfertshausen	sbs124wul	48.381729	10.9785118	384
86343 K�nigsbrunn	sbs156kon	48.2609878	10.8489039	385
86356 Westheim	sbs003wsm	48.3861422	10.8076186	386
86368 Gersthofen	sbs104ger	48.4277649	10.8011932	387
86368 Rettenbergen	sbs102ret	48.4301285	10.7815068	388
86381 Krumbach	sbs148kru	48.2487715	10.3110442	389
86381 Niederraunau	sbs149nra	48.2221243	10.3697382	390
86391 Stadtbergen	sbs121sta	48.3606352	10.7914155	391
86399 Bobingen	sbs154bob	48.274551	10.7037947	392
86405 Langenreichen	sbs073lrh	48.5524742	10.7850295	393
86405 Meitingen	sbs074mei	48.5460974	10.7483123	394
86420 Anhausen	sbs137anh	48.3411665	10.7644945	395
86420 Biburg	sbs119big	48.3742673	10.7521552	396
86424 Obersch�neberg	sbs134oso	48.3260098	10.5732224	397
86438 Kissing	sbs140kis	48.3063978	10.949186	398
86441 Steinekirch	sbs117stk	48.3724282	10.575606	399
86441 W�rleschwang	sbs100woa	48.436775	10.5888884	400
86444 M�hlhausen	sbs105muh	48.4400293	10.9215223	401
86447 Todtenweis	sbs088tod	48.5089455	10.8792633	402
86456 Gablingen	sbs103gab	48.4559116	10.7764045	403
86459 D�pshofen/Gessertshausen	sbs136dop	48.2770915	10.6943017	404
86462 Langweid	sbs087lwd	48.4816006	10.7921529	405
86473 Ziemetshausen	sbs133zim	48.279684	10.4780462	406
86476 Edelstetten	sbs132eds	48.2951515	10.3847378	407
86480 Aletshausen	sbs164ale	48.1893814	10.3454176	408
86483 Balzhausen	sbs150baz	48.2358503	10.4547975	409
86485 Affaltern	sbs085afl	48.4856623	10.7352025	410
86485 Biberbach	sbs086bib	48.5081861	10.71054	411
86486 Bonstetten	sbs101bon	48.4431617	10.6803324	412
86488 Breitenthal	sbs147bth	48.2427168	10.2703345	413
86494 Emersacker	sbs083ema	48.4755601	10.6363244	414
86495 Eurasburg	sbs143eur	48.3314772	11.789289	415
86500 Agawang	sbs118aga	48.3605767	10.6807699	416
86502 Laugna	sbs084lag	48.5118105	10.676581	417
86504 Merching	sbs157mch	48.2449196	10.9129803	418
86510 Eismannsberg	sbs142eis	48.3015447	11.907818	420
86514 Ustersbach	sbs135ust	48.3205977	10.6056685	421
86529 H�rzhausen	sob055hoe	48.5463399	11.1931725	422
86551 Aichach	sbs107aic	48.4494945	11.423717	423
86551 Griesbeckerzell	sbs106gri	48.4434684	11.446665	424
86554 Grimolzhausen	sbs078grm	48.5777792	11.1434372	425
86554 P�ttmes	sbs077pot	48.5704229	11.9922	426
86558 Hohenwart	sob050hwt	48.5893129	11.3272152	427
86558 Koppenbach	sob057kop	48.5745633	11.3583044	428
86561 Aresing	sob056are	48.5182396	11.2215633	429
86570 Inchenhofen	sbs090inh	48.5188481	11.693394	430
86571 Langenmoosen	sob048lgm	48.6087664	11.1761551	431
86574 Indersdorf	sob086ind	48.5388611	10.9845208	432
86574 Petersdorf	sbs089pet	48.523998	10.981925	433
86576 Schiltberg	sbs108sbg	48.4542701	11.2162199	434
86577 T�dtenried	sbs126tod	48.377935	11.1569544	435
86609 Donauw�rth	sbs049don	48.7195701	10.6983281	436
86633 Bittenbrunn	sbs042bit	48.7428295	11.1508557	437
86633 Feldkirchen	sob034fki	48.7192781	11.1642436	438
86637 Villenbach	sbs082vil	48.5186924	10.5672747	439
86637 Wertingen	sbs072wer	48.5549492	10.6337751	440
86641 Rain am Lech	sbs053ral	48.6652529	10.8853766	441
86641 Wallerdorf	sbs066wal	48.6226209	10.9987377	442
86643 Rennertshofen	sbs041ren	48.7726494	10.9769268	443
86647 Lauterbach	sbs062ltb	48.623283	10.7369288	444
86650 Wemding	sbs020wem	48.8787226	10.6840163	445
86653 Daiting	sbs031dai	48.7922221	10.8490399	446
86653 Itzing	sbs029itz	48.8167094	10.82423	447
86653 Monheim	sbs030mon	48.852508	10.7969273	448
86653 Weilheim (Krs	sbs021wlh	48.8861518	10.8204972	449
86655 Ebermergen	sbs037ebm	48.7544999	10.7013147	450
86655 Heroldingen	sbs027hdg	48.8115425	10.64087	451
86657 Bissingen	sbs047bis	48.719039	10.5048622	452
